"COLLECTION_ID","SHORT_NAME","LONG_NAME","TYPE","DESCRIPTION"
"43","JASON-1_GEOPHYSICAL_DATA_RECORD","Jason-1 Geophysical Data Record (GDR)","PRODUCT","GDR files contain full accuracy altimeter data, with a high precision orbit (accuracy ~2.5 cm), provided approximately 35 days after data collection. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, mean sea surface, and position relative to the GPS satellite constellation. The GDR contain all relevant corrections needed to calculate the sea surface height. Sea surface height anomalies are derived from the 1/second GDRs and are based on the recommended data edit criteria specified in the Jason-1 I/GDR User Handbook located at ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr/doc."
"44","JASON-1_GEOPHYSICAL_DATA_RECORD_NETCDF","Jason-1 Geophysical Data Record (GDR) NetCDF","PRODUCT","GDR files contain full accuracy altimeter data, with a high precision orbit (accuracy ~2.5 cm), provided approximately 35 days after data collection. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, mean sea surface, and position relative to the GPS satellite constellation. The GDR contain all relevant corrections needed to calculate the sea surface height. Sea surface height anomalies are derived from the 1/second GDRs and are based on the recommended data edit criteria specified in the Jason-1 I/GDR User Handbook located at ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr/doc."
"45","JASON-1_GEOPHYSICAL_DATA_RECORD_SEA_SURFACE_HEIGHT_ANOMALY_NETCDF","Jason-1 Geophysical Data Record (GDR) Sea Surface Height Anomaly (SSHA) NetCDF","PRODUCT","The SSHA are derived from the Jason-1 GDR. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, and position relative to the GPS satellite constellation."
"46","JASON-1_INTERIM_GEOPHYSICAL_DATA_RECORD","Jason-1 Interim Geophysical Data Record (IGDR)","PRODUCT","IGDR files contain full accuracy altimeter data, with the exception of an interim orbit (accuracy < 4 cm), provided within 3 days of data collection. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, and position relative to the GPS satellite constellation. The IGDR contain all relevant corrections needed to calculate the sea surface height. Sea surface height anomalies are derived from the 1/second IGDRs and are based on the recommended data edit criteria specified in the Jason-1 I/GDR User Handbook located at ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr/doc."
"47","JASON-1_INTERIM_GEOPHYSICAL_DATA_RECORD_NETCDF","Jason-1 Interim Geophysical Data Record (IGDR) NetCDF","PRODUCT","IGDR files contain full accuracy altimeter data, with the exception of an interim orbit (accuracy < 4 cm), provided within 3 days of data collection. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, and position relative to the GPS satellite constellation. The IGDR contain all relevant corrections needed to calculate the sea surface height. Sea surface height anomalies are derived from the 1/second IGDRs and are based on the recommended data edit criteria specified in the Jason-1 I/GDR User Handbook located at ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr/doc."
"48","JASON-1_INTERIM_GEOPHYSICAL_DATA_RECORD_SEA_SURFACE_HEIGHT_ANOMALY_NETCDF","Jason-1 Interim Geophysical Data Record (IGDR) Sea Surface Height Anomaly (SSHA) NetCDF","PRODUCT","The SSHA are derived from the Jason-1 IGDR. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, and position relative to the GPS satellite constellation."
"49","JASON-1_MICROWAVE_RADIOMETER","Jason-1 Microwave Radiometer (JMR)","PRODUCT","TBD"
"50","JASON-1_OPERATIONAL_SENSOR_DATA_RECORD","Jason-1 Operational Sensor Data Record (OSDR)","PRODUCT","OSDR files are provided every 2 hours and within 3 hours of data collection. They contain wave height, wind speed and water vapor measurements computed using real-time on-board DORIS/DIODE orbits (better than accuracy 20 cm) and other rapidly available corrections."
"51","JASON-1_PAYLOAD_TELEMETRY","Jason-1 Payload Telemetry","PRODUCT","TBD"
"52","JASON-1_SENSOR_GEOPHYSICAL_DATA_RECORD","Jason-1 Sensor Geophysical Data Record (SGDR)","PRODUCT","SGDR files contain full accuracy altimeter data, with a high precision orbit (accuracy ~2.5 cm), provided approximately 35 days after data collection. The instruments on Jason-1 make direct observations of the following quantities: altimeter range, significant wave height, ocean radar backscatter cross-section (a measure of wind speed), ionospheric electron content (derived by a simple formula), tropospheric water content, mean sea surface, and position relative to the GPS satellite constellation. The SGDR contain all relevant corrections needed to calculate the sea surface height. It also contains the waveforms that are required for retracking."
