"DATASET_ID","PROVIDER_ID","SHORT_NAME","LONG_NAME","ORIGINAL_PROVIDER","PROVIDER_DATASET_NAME","PROCESSING_LEVEL","REGION","REGION_DETAIL","LATITUDE_RESOLUTION","LONGITUDE_RESOLUTION","HORIZONTAL_RESOLUTION_RANGE","ALTITUDE_RESOLUTION","DEPTH_RESOLUTION","TEMPORAL_RESOLUTION","TEMPORAL_RESOLUTION_RANGE","ELLIPSOID_TYPE","PROJECTION_TYPE","PROJECTION_DETAIL","REFERENCE"
"41","5","EUR-L2P-TMI","L2P Sea Surface Temperature (SST-sub-skin) from gridded Tropical Rainfall MApping Mission (TRMM) Microwave Imager (TMI)  Remote Sensing Systems BMAPS","Remote Sensing Systems (REMSS)","TMI-EUR-L2P","2P","Atlantic Ocean","Tropical and mid-latitude section of the Medspiration EU-RDAC area including par","25.00","25.00","none","0.00","none","Revisit ~twice each day","none","none","Gridded 25km SSTsub-skin data","Low earth orbit satellite coinfiguration","Medspiration products user manual, Robinson I., Leborgne P., Piolle J.F., Larnicol G., v1.02, September 2004"
"39","13","REMSS-L2P-TMI","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin observations from the TRMM Microwave Radiometer","Remote Sensing Systems","REMSS-L2P-TMI","2P","Tropical Ocean","none","25.00","25.00","none","0.00","none","none","none","none","Swath","Satellite native swath Geolocation information included for each pixel","http://www.ssmi.com/tmi/tmi_description.html"
"40","13","REMSS-L2P_GRIDDED_25-TMI","GHRSST-PP L2P Global Sea Surface Temperature SSTsub-skin observations from the TRMM Microwave Radiometer","Remote Sensing Systems","TMI-REMSS-L2P_GRIDDED_25","3","Tropical Ocean","none",".225",".225","none","0.00","none","none","none","none","Gridded","25 km","http://www.ssmi.com/tmi/tmi_description.html"
"42","7","UKMO-L4HRfnd-GLOB-OSTIA","Foundation Sea Surface Temperature L4 analysis from the UK Met Office, daily at 0.05 degree resolution.","UK Met Office","OSTIA","4","Global Ocean","none",".054",".054","none","none","none","Daily mean.","none","none","Cylindrical Lat-Lon","Regular 0.05 degree grid.","none"
"12","9","NAVO-L2P-AVHRR17_L","Bulk Sea Surface Temperature from the NOAA-17 POES Advanced Very High Resolution Radiometer, 2.2 km resolution, regional coverage, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRR17_L","2P","Global Ocean","none","2.2","2.2","none","none","none","Revisit determined by recorder scheduling","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"13","10","NEODAAS-L2P-AVHRR17_L","GHRSST L2P Sea surface temperature from AVHRR","PML","NEODAAS-L2P-AVHRR17_L","2P","Northeast Atlantic and Europe","none","1.1","1.1","none","none","none","Revisit four times each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","Information about the AVHRR processing system at NEODAAS can be found at: http://www.npm.ac.uk/rsdas/faq/ and in this conference paper: Miller P, Groom S, McManus A, Selley J and Mironnet N. (1997) PANORAMA: a semi-automated AVHRR and CZCS system for observation of coastal and ocean processes. RSS97: Observations and Interactions, In: Proceedings of the Remote Sensing Society, pp 539-544, Reading, September 1997. (http://www.npm.ac.uk/papers/miller_rss97/)."
"14","9","NAVO-L2P-AVHRR18_G","Bulk Sea Surface Temperature from the NOAA-18 POES Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRR18_G","2P","Global Ocean","none","8.8","8.8","none","none","none","Revisit ~twice each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"15","9","NAVO-L2P-AVHRR18_L","Bulk Sea Surface Temperature from the NOAA-18 POES Advanced Very High Resolution Radiometer, 2.2 km resolution, regional coverage, beginning in the year 2006, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRR18_L","2P","Global Ocean","none","2.2","2.2","none","none","none","Revisit determined by recorder scheduling","none","none","Satellite native swath","Geolocation information included for each pixel","none"
"16","10","NEODAAS-L2P-AVHRR18_L","GHRSST L2P Sea surface temperature from AVHRR","PML","NEODAAS-L2P-AVHRR18_L","2P","Northeast Atlantic and Europe","none","1.1 km","1.1 km","none","none","none","Revisit four times each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","Information about the AVHRR processing system at NEODAAS can be found at: http://www.npm.ac.uk/rsdas/faq/ and in this conference paper: Miller P, Groom S, McManus A, Selley J and Mironnet N. (1997) PANORAMA: a semi-automated AVHRR and CZCS system for observation of coastal and ocean processes. RSS97: Observations and Interactions, In: Proceedings of the Remote Sensing Society, pp 539-544, Reading, September 1997. (http://www.npm.ac.uk/papers/miller_rss97/)."
"17","9","NAVO-L2P-AVHRRMTA_G","Bulk Sea Surface Temperature from the METOP-A Advanced Very High Resolution Radiometer, 8.8 km resolution, 14 orbits per day, global, beginning in the year 2007, from the Naval Oceanographic Office, Stennis Space Center, MS, USA","Naval Oceanographic Office","AVHRRMTA_G","2P","Global Ocean","none","8.8","8.8","none","none","none","Revisit ~twice each day (night and daytime passes)","none","none","Satellite native swath","Geolocation information included for each pixel","none"
