"DATASET_ID","TITLE","CREATOR","VERSION","PUBLISHER","SERIES_NAME","RELEASE_DATE","RELEASE_PLACE","CITATION_DETAIL","ONLINE_RESOURCE"
"12","N-17 AVHRR LAC L2P swath SST data set","Naval Oceanographic Office","1.0","Naval Oceanographic Office","N-17 AVHRR LAC MCSST","01-JAN-06","Stennis Space Center, MS, USA","Production of L2P data is sponsored in part by the National Oceanographic Partnership Program (NOPP).",""
"13","Sea surface temperature from AVHRR","NEODAAS","1","NEODAAS","AVHRR SST","02-JUN-08","Natural Environment Research Council (NERC) Earth Observation Data Acquisition and Analysis Service","Processed by Panorama at PML",""
"14","N-18 AVHRR GAC L2P swath SST data set","Naval Oceanographic Office","1.0","Naval Oceanographic Office","N-18 AVHRR GAC MCSST","01-JAN-06","Stennis Space Center, MS, USA","Production of L2P data is sponsored in part by the National Oceanographic Partnership Program (NOPP).",""
"15","N-18 AVHRR LAC L2P swath SST data set","Naval Oceanographic Office","1.0","Naval Oceanographic Office","N-18 AVHRR LAC MCSST","01-JAN-06","Stennis Space Center, MS, USA","Production of L2P data is sponsored in part by the National Oceanographic Partnership Program (NOPP).",""
"16","Sea surface temperature from AVHRR","NEODAAS","1","NEODAAS","AVHRR SST","02-JUN-08","Natural Environment Research Council (NERC) Earth Observation Data Acquisition and Analysis Service","Processed by Panorama at PML",""
"17","METOP-A AVHRR GAC L2P swath SST data set","Naval Oceanographic Office","1.0","Naval Oceanographic Office","METOP-A AVHRR GAC MCSST","01-OCT-07","Stennis Space Center, MS, USA","Production of L2P data is sponsored in part by the National Oceanographic Partnership Program (NOPP).",""
"18","North Sea and Baltic Sea L4 SST data set","DMI","1.0","Center for Ocean and Ice","DMI OI NSB L4 analysis","11-SEP-07","Danish Meteorological Institute, Copenhagen, Denmark","",""
"19","ODYSSEA Global High Resolution Foundation Sea Surface Temperature Analysis, daily, 10km resolution","IFREMER/CERSAT","1.0","IFREMER/CERSAT","ODYSSEA L4 0.1 degree","26-SEP-07","IFREMER/CERSAT, Bretagne, France","Product created by IFREMER/CERSAT with the support of European Commission GMES Framework",""
"43","MWIR optimum interpolated SST data set","Remote Sensing Systems","1.0","Remote Sensing Systems","MWIR","08-JAN-08","Santa Rosa, CA, USA","AMSR-E data are sponsored by the NASA Earth Science REASoN DISCOVER Project and the AMSR-E Science Team.  Production of L2P data is sponsored by the National Oceanographic Partnership Program (NOPP).","http://www.remss.com"
"44","ENVISAT AATSR full resolution dual-view geolocated L2 swath SSTskin data set in GHRSST-PP L2P format","Medspiration: Meteo France/Meteo France, Centre de Meteorologie Spatiale (CMS), Lannion, 22303 Lannion, cedex, France; EUMETSAT Ocean; Sea Ice Satellite Application Facility","1.0","Medspiration, IFREMER/CERSAT","ENVISAT AATSR 1km dual veiw SSTskin produced by Medspiration","15-DEC-04","Plouzane (Brest), France","AATSR Data provided by the European Space Agency (ESA). ESRIN, Frascati Italy see http://www.esa.int.  L2P AATSR data are produced by the ESA Medspiration project funded by the European Space Agency Data User Element (ESA-DUE).","ftp://ftp.ifremer.fr/ifremer/valmedspi"
"20","Analysed L4 foundation sea surface temperature over Galapagos and Pacific Central America","IFREMER/CERSAT","1.0","Medspiration, IFREMER/CERSAT","Galapagos L4 Ultra-high Resolution SSTfnd (L4UHRfnd)","14-JAN-08","IFREMER/CERSAT, Bretagne, France","These data are produced by the ESA Medspiration project funded by the European Space Agency Data User Element (ESA-DUE)","ftp://ftp.ifremer.fr"
"21","Analysed L4 foundation sea surface temperature over Mediterranean Sea","IFREMER/CERSAT","1.0","Medspiration, IFREMER/CERSAT","Medspiration L4 Ultra-high Resolution SSTfnd (L4UHRfnd)","10-JAN-08","IFREMER/CERSAT, Bretagne, France","These data are produced by the ESA Medspiration project funded by the European Space Agency Data User Element (ESA-DUE)","ftp://ftp.ifremer.fr"
"22","Analysed L4 foundation sea surface temperature over Mediterranean Sea","ESA Medspiration: Meteo France/Meteo France, Centre de Meteorologie Spatiale (CMS), Lannion, 22303 Lannion, cedex, France; EUMETSAT Ocean; Sea Ice Satellite Application Facility","1.0","Medspiration, IFREMER/CERSAT","Medspiration L4 Ultra-high Resolution SSTfnd (L4UHRfnd)","15-DEC-04","Plouzane (Brest), France","These data are produced by the ESA Medspiration project funded by the European Space Agency Data User Element (ESA-DUE)","ftp://ftp.ifremer.fr"
