"DATASET_ID","START_TIME","STOP_TIME","NORTH_LAT","SOUTH_LAT","EAST_LON","WEST_LON","MIN_ALTITUDE","MAX_ALTITUDE","MIN_DEPTH","MAX_DEPTH"
"171","01-SEP-91 12.00.00.000000000 AM","31-MAY-96 12.00.00.000000000 AM","90","-90","360","0","","","",""
"172","01-AUG-87 12.00.00.000000000 AM","31-DEC-88 12.00.00.000000000 AM","90","-90","360","0","","","",""
"173","01-AUG-87 12.00.00.000000000 AM","31-DEC-88 12.00.00.000000000 AM","90","-90","360","0","","","",""
"174","01-AUG-87 12.00.00.000000000 AM","30-NOV-88 12.00.00.000000000 AM","90","-90","360","0","","","",""
"175","01-JUL-87 12.00.00.000000000 AM","31-DEC-99 12.00.00.000000000 AM","90","-90","360","0","","","",""
"176","23-SEP-92 12.00.00.000000000 AM","23-APR-96 12.00.00.000000000 AM","90","-90","360","0","","","",""
"177","14-SEP-96 12.00.00.000000000 AM","29-JUN-97 12.00.00.000000000 AM","75","-75","360","0","","","",""
"178","25-SEP-92 12.00.00.000000000 AM","01-OCT-97 12.00.00.000000000 AM","90","-90","360","0","","","",""
"179","01-JAN-90 12.00.00.000000000 AM","03-MAY-98 12.00.00.000000000 AM","90","-90","360","0","","","",""
"180","01-JAN-58 12.00.00.000000000 AM","31-DEC-98 12.00.00.000000000 AM","90","-90","360","0","","","",""
"181","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"182","01-JAN-51 12.00.00.000000000 AM","31-DEC-98 12.00.00.000000000 AM","90","-90","360","0","","","",""
"183","01-JAN-51 12.00.00.000000000 AM","31-DEC-99 12.00.00.000000000 AM","90","-90","360","0","","","",""
"184","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"185","01-JAN-90 12.00.00.000000000 AM","31-DEC-99 12.00.00.000000000 AM","90","-90","360","0","","","",""
"186","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"187","01-JAN-25 12.00.00.000000000 AM","31-DEC-97 12.00.00.000000000 AM","90","-90","360","0","","","",""
"188","01-JAN-90 12.00.00.000000000 AM","31-DEC-01 12.00.00.000000000 AM","90","-90","360","0","","","",""
"189","12-MAY-03 12.00.00.000000000 AM","22-AUG-03 12.00.00.000000000 AM","60","-45","330","180","","","",""
"190","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"191","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"192","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"193","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"194","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"195","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"196","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"197","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"198","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"199","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"200","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"201","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"202","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"203","01-JAN-50 12.00.00.000000000 AM","01-JAN-50 12.00.00.000000000 AM","90","-90","360","0","","","",""
"1","12-JUN-06 12.00.00.000000000 AM","","20","-70","-170","60","","","",""
"2","01-AUG-08 12.00.00.000000000 AM","","90","-90","180","-180","","","",""
"3","01-JUN-02 01.00.00.000000000 AM","","90","-90","180","-180","0","0","0","0"
"4","12-JUL-97 12.00.00.000000000 AM","","90","-90","180","-180","0","0","0","0"
