"DATASET_ID","TYPE","BASE_PATH"
"81","ARCHIVE-RESTRICTED","file:///store/quikscat/restricted/L2A/data/Q2A"
"82","ARCHIVE-RESTRICTED","file:///store/quikscat/restricted/L2A/data/L2A12"
"83","ARCHIVE-RESTRICTED","file:///store/quikscat/restricted/L2A/data/Q2A12"
"84","ARCHIVE-PUBLIC","file:///store/quikscat/public/L2B/data"
"84","LOCAL-FTP","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/quikscat/L2B/data"
"84","LOCAL-OPENDAP","http://dods.jpl.nasa.gov/opendap/ocean_wind/quikscat/L2B/data"
"85","ARCHIVE-PUBLIC","file:///store/quikscat/public/L2B/Q2B"
"85","LOCAL-FTP","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/quikscat/L2B/Q2B"
"86","ARCHIVE-PUBLIC","file:///store/quikscat/public/L2B12/data"
"86","LOCAL-FTP","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/quikscat/L2B12/data"
"86","LOCAL-OPENDAP","http://dods.jpl.nasa.gov/opendap/ocean_wind/quikscat/L2B12/data"
"87","ARCHIVE-PUBLIC","file:///store/quikscat/public/L2B12/Q2B12"
"87","LOCAL-FTP","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/quikscat/L2B12/Q2B12"
"88","ARCHIVE-OPEN","file:///store/quikscat/open/L3/data"
"88","LOCAL-FTP","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/quikscat/L3/data"
"88","LOCAL-OPENDAP","http://dods.jpl.nasa.gov/opendap/ocean_wind/quikscat/L3/data"
"218","ARCHIVE-PREVIEW","file:///store/ascat/preview/data/L2P/ascat-12.5km"
"219","ARCHIVE-PREVIEW","file:///store/ascat/preview/data/L2P/ascat-25km"
"5","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AMSRE/EUR"
"5","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AMSRE/EUR"
"6","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/ATS_NR_2P/EUR"
"6","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/ATS_NR_2P/EUR"
"7","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR16_G/EUR"
"7","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR16_G/EUR"
"8","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR16_L/EUR"
"8","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR16_L/EUR"
"9","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR17_G/EUR"
"9","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR17_G/EUR"
"11","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR17_L/EUR"
"11","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR17_L/EUR"
"28","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/NAR16_SST/EUR"
"28","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/NAR16_SST/EUR"
"29","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/NAR17_SST/EUR"
"29","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/NAR17_SST/EUR"
"30","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/NAR18_SST/EUR"
"30","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/NAR18_SST/EUR"
"38","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/SEVIRI_SST/EUR"
"38","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/SEVIRI_SST/EUR"
"41","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/TMI/EUR"
"41","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/TMI/EUR"
"26","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/MODIS_A/JPL"
"26","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/MODIS_A/JPL"
"27","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/MODIS_T/JPL"
"27","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/MODIS_T/JPL"
"10","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR17_G/NAVO"
"10","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR17_G/NAVO"
"12","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR17_L/NAVO"
"12","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR17_L/NAVO"
"14","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR18_G/NAVO"
"14","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR18_G/NAVO"
"15","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR18_L/NAVO"
"15","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR18_L/NAVO"
"17","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRRMTA_G/NAVO"
"17","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRRMTA_G/NAVO"
"13","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR17_L/NEODAAS"
"13","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR17_L/NEODAAS"
"16","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/AVHRR18_L/NEODAAS"
"16","REMOTE-OPENDAP","http://data.nodc.noaa.gov/cgi-bin/nph-dods/ghrsst/L2P/AVHRR18_L/NEODAAS"
"24","REMOTE-FTP","ftp://data.nodc.noaa.gov/pub/data.nodc/ghrsst/L2P/GOES11/OSDPD"
