"DATASET_ID","DATA_CLASS","DATA_FREQUENCY","DATA_VOLUME","DATA_DURATION","ACCESS_TYPE","BASE_PATH_APPEND_TYPE","DATA_FORMAT","COMPRESS_TYPE","CHECKSUM_TYPE","SPATIAL_TYPE","ACCESS_CONSTRAINT","USE_CONSTRAINT"
"153","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","GZIP","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"154","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","GZIP","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"155","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","RAW","GZIP","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"156","ARCHIVE-DIST","","","","CONTROLLED","BATCH","HDF","GZIP","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"157","ARCHIVE-DIST","","","","CONTROLLED","YEAR-DOY","HDF","GZIP","MD5","ORACLE","Mission controlled","none"
"160","ARCHIVE-DIST","","","","OPEN","YEAR","HDF","GZIP","MD5","ORACLE","none","none"
"141","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","ASCII","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"148","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","ASCII","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"131","ARCHIVE-ONLY","","","","CONTROLLED","BATCH","ASCII","none","MD5","ORACLE","ITAR controlled http://exportcompliance.jpl.nasa.gov/guidelines/sciencedata/ project use only","none"
"168","ARCHIVE-DIST","","","","OPEN","YEAR-DOY","HDF","GZIP","MD5","BACKTRACK","none","none"
"166","ARCHIVE-ONLY","","","","CONTROLLED","YEAR-DOY","HDF","GZIP","MD5","BACKTRACK","Mission controlled due to erroneous data.","none"
"165","ARCHIVE-ONLY","","","","CONTROLLED","YEAR","HDF","GZIP","MD5","ORACLE","Mission controlled due to erroneous data.","none"
"195","ARCHIVE-DIST","","","","OPEN","none","RAW","none","MD5","BACKTRACK","none","none"
"196","ARCHIVE-DIST","","","","OPEN","none","RAW","none","MD5","BACKTRACK","none","none"
"197","ARCHIVE-DIST","","","","OPEN","none","RAW","none","MD5","BACKTRACK","none","none"
"1","ARCHIVE-DIST","","","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"2","ARCHIVE-DIST","","","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"3","ROLLING-STORE","3","15","90","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","BACKTRACK","None","None"
"4","ARCHIVE-DIST","","","90","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","None","None"
"5","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"6","ROLLING-STORE","2","5","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None (ESA category-1 data agreement is required to access full ENVISAT AATSR data products)"
"7","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"8","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"9","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"10","ROLLING-STORE","2","5","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"11","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"12","ROLLING-STORE","2","14","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"13","ROLLING-STORE","2","14","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","none","None"
"14","ROLLING-STORE","2","5","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"15","ROLLING-STORE","2","14","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"16","ROLLING-STORE","2","14","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"17","ROLLING-STORE","2","14","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","BACKTRACK","None","None"
"18","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","In no event shall DMI or its representatives be liable for any damages whatsoever including, without limitation, special, indirect, incidental or consequential damages or damages for loss of business profits or savings, business interruption, loss of business information or other pecuniary loss arising out of the use of or the inability to use this DMI product, even if DMI has been advised of the possibility of such damages. This limitation shall apply to claims of personal injury to the extent permitted by law. Some countries or states do not allow the exclusion or limitation of liability for consequential, special, indirect, incidental damages and, accordingly, some portions of these limitations may not apply to you. By using this product, you have accepted that the above limitations or the maximum legally applicable subset of these limitations apply to your use of this product.","None"
"19","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"20","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"21","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"22","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"23","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"24","ROLLING-STORE","2","31","90","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","BACKTRACK","None","None"
"25","ROLLING-STORE","2","31","90","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","BACKTRACK","None","None"
"26","ROLLING-STORE","1","24","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"27","ROLLING-STORE","1","24","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"28","ROLLING-STORE","","","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"29","ROLLING-STORE","12","4","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"30","ROLLING-STORE","12","4","90","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"31","ARCHIVE-DIST","","","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"32","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"33","ARCHIVE-DIST","24","4","","OPEN","YEAR-DOY","NETCDF","BZIP2","MD5","ORACLE","None","None"
"34","ARCHIVE-DIST","","","","OPEN","YEAR-DOY","NETCDF","GZIP","MD5","ORACLE","None","None"
