"DATASET_ID","NAME","PATH","TYPE","DESCRIPTION"
"153","SeaWinds Science Data Product User's Manual","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/doc/SWS_SDPUG_V2.0.pdf","Reference Materials","User Manual"
"154","SeaWinds Science Data Product User's Manual","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/doc/SWS_SDPUG_V2.0.pdf","Reference Materials","User Manual"
"155","SeaWinds Science Data Product User's Manual","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/doc/SWS_SDPUG_V2.0.pdf","Reference Materials","User Manual"
"156","SeaWinds Science Data Product User's Manual","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/doc/SWS_SDPUG_V2.0.pdf","Reference Materials","User Manual"
"157","SeaWinds Science Data Product User's Manual","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/doc/SWS_SDPUG_V2.0.pdf","Reference Materials","User Manual"
"160","SeaWinds Level 3 User's Guide","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/L3/doc/SWS_L3.pdf","Reference Materials","User Manual"
"160","FTP Site","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/seawinds/L3","Get Data","FTP Location"
"131","FTP Site","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/nscat/data/anc","Get Data","FTP Location"
"55","SSALTO PRODUCTS SPECIFICATIONS - VOLUME 1 : JASON-1 USER PRODUCTS","ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/osdr/doc/User_Products.pdf","Guide Document","User guide with info on Jason-1 OSDR, IGDR, GDR and SGDR"
"51","AVISO and PO.DAAC User Handbook IGDR and GDR Jason Products","ftp://podaac.jpl.nasa.gov/pub/sea_surface_height/jason/gdr_c/doc/Handbook_Jason_v4-1.pdf","Guide Document","Jason-1 IGDR and GDR user guide"
"168","FTP Site","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/L2B12","Get Data","FTP Location"
"168","SeaWinds Science Data Product User's Manual","ftp://podaac.jpl.nasa.gov/ocean_wind/seawinds/doc/SWS_SDPUG_V2.0.pdf","Reference Materials","User Manual"
"166","Archived Documentation","file:///store/quikscat/obsolete/stress/L2B/doc","Reference Materials","User Manual"
"166","README","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/quikscat/stress/README","Reference Materials","Explanation of Retirement"
"165","README","ftp://podaac.jpl.nasa.gov/pub/ocean_wind/quikscat/stress/README","Reference Materials","Explanation of Retirement"
"165","Archived Documentation","file:///store/quikscat/obsolete/stress/L3/doc","Reference Materials","User Manual"
"6","none","http://www.ghrsst-pp.org","Project Home Page","Home Page of the Global Ocean Data Assimilation Experiment High Resolution SST Pilot Project (GHRSST-PP)"
"6","none","http://www.medspiration.org","Project Home Page","Description of the Medspiration projec"
"6","none","http://www.le.ac.uk/physics/research/eos/aatsr","Reference Materials","AATSR home page"
"6","none","http://www.metoffice.gov.uk/research/nwp/satellite/infrared/aatsr/index.html","Calibration/validation data","AATSR data product real time performance monitoring"
"7","none","http://podaac.jpl.nasa.gov:2031/DATASET_DOCS/avhrr_navoceano.html","Reference Materials","JPL Physical Oceanography Data Active Archive Centre (PO.DAAC)"
"7","none","http://www.medspiration.org","Project Home Page","Description of the Medspiration projec"
"7","none","http://www.ghrsst-pp.org","Project Home Page","Home Page of the Global Ocean Data Assimilation Experiment High Resolution SST Pilot Project (GHRSST-PP)"
"8","none","http://www.medspiration.org","Project Home Page","Description of the Medspiration projec"
"8","none","http://po.daac.jpl.nasa.gov/mcsst","Reference Materials","JPL Physical Oceanography Data Active Archive Centre (PO.DAAC)"
"8","none","http://www.ghrsst-pp.org","Project Home Page","Home Page of the Global Ocean Data Assimilation Experiment High Resolution SST Pilot Project (GHRSST-PP)"
"9","none","http://www.medspiration.org","Project Home Page","Description of the Medspiration projec"
"9","none","http://podaac.jpl.nasa.gov:2031/DATASET_DOCS/avhrr_navoceano.html","Reference Materials","JPL Physical Oceanography Data Active Archive Centre (PO.DAAC)"
"9","none","http://www.ghrsst-pp.org","Project Home Page","Home Page of the Global Ocean Data Assimilation Experiment High Resolution SST Pilot Project (GHRSST-PP)"
"11","none","http://www.ghrsst-pp.org","Project Home Page","Home Page of the Global Ocean Data Assimilation Experiment High Resolution SST Pilot Project (GHRSST-PP)"
"11","none","http://po.daac.jpl.nasa.gov/mcsst","Reference Materials","JPL Physical Oceanography Data Active Archive Centre (PO.DAAC)"
"11","none","http://www.medspiration.org","Project Home Page","Description of the Medspiration project"
"28","none","http://www.osi-saf.org","Project Home Page","Home Page of the EUMETSAT OCean and Sea ICe Satellite Application Facility"
"28","none","http://www.osi-saf.org/biblio/bibliotheque.php","Reference Materials","EUMETSAT OSI-SAF SEVIRI documentation pages"
"28","none","http://www.medspiration.org","Project Home Page","Description of the Medspiration projec"
"28","none","http://www.ghrsst-pp.org","Project Home Page","Home Page of the Global Ocean Data Assimilation Experiment High Resolution SST Pilot Project (GHRSST-PP)"
"29","none","http://www.medspiration.org","Project Home Page","Description of the Medspiration projec"
"29","none","http://www.osi-saf.org","Project Home Page","Home Page of the EUMETSAT OCean and Sea ICe Satellite Application Facility"
"29","none","http://www.osi-saf.org/biblio/bibliotheque.php","Reference Materials","EUMETSAT OSI-SAF SEVIRI documentation pages"
