"PROVIDER_ID","SHORT_NAME","LONG_NAME","TYPE"
"1","NASA/JPL/PODAAC","Physical Oceanography Distributed Active Archive Center, Jet Propulsion Laboratory, NASA","DATA-CENTER"
"2","DMI COI","Danish Meteorological Institute, Center for Ocean and Ice","DATA-PROVIDER"
"3","AU/BOM","Australian Burea of Meteorology","DATA-PROVIDER"
"5","IFREMER/CERSAT","Institut Francais de Recherche pour l'Exploitation de la Mer, Center d'Exploitation et de Recherche Satellitaire","DATA-PROVIDER"
"6","OSDPD","NOAA Office of Satellite Data Processing and Distribution","DATA-PROVIDER"
"7","UKMO","United Kingdom Met Office","DATA-PROVIDER"
"8","ABOM","Australian Bureau of Meteorology","DATA-PROVIDER"
"9","DOD/USNAVY/NAVOCEANO","Naval Oceanographic Office, U.S. Navy, U.S. Department of Defense","DATA-PROVIDER"
"10","NEODAAS","NERC Earth Observation Data Acquisition and Analysis Service","DATA-PROVIDER"
"11","NAVO","Naval Oceanographic Office (NAVOCEANO)","DATA-PROVIDER"
"12","NCDC","NOAA National Climatic Data Center","DATA-PROVIDER"
"13","REMSS","Remote Sensing Systems","DATA-PROVIDER"
"15","JPL PODAAC","Jet Propulsion Laboratory, Physical Oceanography Distributed Active Archive Center","DATA-PROVIDER"
"23","KNMI","ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE","DATA-PROVIDER"
"16","JASON-1","Jason-1","DATA-PROVIDER"
"17","OCO MOS","Orbiting Carbon Observatory (OCO) Mission Operations System (MOS)","DATA-PROVIDER"
"18","SeaPAC","SeaWinds Processing and Analysis Center (SeaPAC)","DATA-PROVIDER"
"24","BYU/SCP","Brigham Young University, Scatterometer Climate Record Pathfinder","DATA-PROVIDER"
"25","NSIDC","National Snow and Ice Data Center","DATA-PROVIDER"
"26","GSFC","Goddard Space Flight Center","DATA-PROVIDER"
"27","NASA/GSFC/NOAA","National Aeronautics and Space Administration, Goddard Space Flight Center, National Oceanic and Atmospheric Administration","DATA-PROVIDER"
"28","JPL/UCLA/AES","Jet Propulsion Laboratory, University of California Los Angeles, Atmospheric Environmental Service (Canada)","DATA-PROVIDER"
"29","GSFC/JPL/NCAR","Goddard Space Flight Center, Jet Propulsion Laboratory, National Center for Atmospheric Research","DATA-PROVIDER"
"30","DOC/NOAA/NWS/NCEP","National Centers for Environmental Protection, National Weather Service, NOAA, U.S. Department of Commerce","DATA-PROVIDER"
"31","DOC/NOAA/NESDIS/NODC","National Oceanographic Data Center, NESDIS, NOAA, U.S. Department of Commerce","DATA-PROVIDER"
"32","ESA","European Space Agency","DATA-PROVIDER"
"33","TOPEX/POSEIDON","TOPEX/Poseidon","DATA-PROVIDER"
"34","CMS","Meteorologie Spatiale","DATA-PROVIDER"
"35","RSMAS","Rosenstiel School of Marine and Atmospheric Science","DATA-PROVIDER"
